"id","date","gender","age","language","taskOrder","optionOrder","taskNr","trial","stimulus","response","RT","correct"
93,"2017_Feb_09_1515","female","19","English","[2, 1, 4, 3, 5]","['yes', 'no']",3,3,"znvjwm","znvhw",13243.5385631,0
93,"2017_Feb_09_1515","female","19","English","[2, 1, 4, 3, 5]","['yes', 'no']",3,4,"ftvrzbm","ftvrzbn",4203.35662039,0
94,"2017_Feb_09_1515","female","18","English","[1, 2, 4, 3, 5]","['yes', 'no']",1,1,"thwv","thwv",8906.9765585,1
94,"2017_Feb_09_1515","female","18","English","[1, 2, 4, 3, 5]","['yes', 'no']",1,2,"xzmhg","xzmhg",3819.80770733,1
94,"2017_Feb_09_1515","female","18","English","[1, 2, 4, 3, 5]","['yes', 'no']",1,3,"ndhvgc","ndhgvc",4586.93750133,0
94,"2017_Feb_09_1515","female","18","English","[1, 2, 4, 3, 5]","['yes', 'no']",1,4,"mwjchbr","mwjcbr",14828.1699417,0
94,"2017_Feb_09_1515","female","18","English","[1, 2, 4, 3, 5]","['yes', 'no']",2,1,"xkzw","xkzw",2768.9803075,1
94,"2017_Feb_09_1515","female","18","English","[1, 2, 4, 3, 5]","['yes', 'no']",2,2,"jwblh","jwblh",4286.80878365,1
94,"2017_Feb_09_1515","female","18","English","[1, 2, 4, 3, 5]","['yes', 'no']",2,3,"cmkwnd","cmkwnd",5404.35701725,1
94,"2017_Feb_09_1515","female","18","English","[1, 2, 4, 3, 5]","['yes', 'no']",2,4,"gwvkfdz","gwvkfdz",9090.38380138,1
94,"2017_Feb_09_1515","female","18","English","[1, 2, 4, 3, 5]","['yes', 'no']",3,1,"xnzt","xnzt",3235.96998025,1
94,"2017_Feb_09_1515","female","18","English","[1, 2, 4, 3, 5]","['yes', 'no']",3,2,"hkgnt","hkgnt",5004.02004179,1
94,"2017_Feb_09_1515","female","18","English","[1, 2, 4, 3, 5]","['yes', 'no']",3,3,"rxtzmj","rxtzmj",5921.4157525,1
94,"2017_Feb_09_1515","female","18","English","[1, 2, 4, 3, 5]","['yes', 'no']",3,4,"mgrdlxk","mgrdlxk",5287.57481812,1
95,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['yes', 'no']",1,1,"hsrf","hsrf",3819.82931762,1
95,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['yes', 'no']",1,2,"ljfth","ljfth",2819.0473204,1
95,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['yes', 'no']",1,3,"vwgrjm","vwjrgm",4453.53701944,0
95,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['yes', 'no']",1,4,"mjnzglc","mjnzglc",5304.26534882,1
95,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['yes', 'no']",2,1,"lwfb","lwfb",2769.00063717,1
95,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['yes', 'no']",2,2,"vnbdk","vnbdk",2335.32458014,1
95,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['yes', 'no']",2,3,"wkgcfx","wkgcfx",3302.72672715,1
95,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['yes', 'no']",2,4,"bxmvczl","bcwxkl",13210.3016662,0
95,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['yes', 'no']",3,1,"jlkz","jlkz",1935.02552254,1
95,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['yes', 'no']",3,2,"rtfkb","rtfkb",7355.84324138,1
95,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['yes', 'no']",3,3,"svrbfl","svrbfl",2335.3875847,1
95,"2017_Feb_09_1515","female","18","other","[2, 1, 4, 3, 5]","['yes', 'no']",3,4,"fxtsrmc","fxtsrbl",6038.14766719,0
96,"2017_Feb_09_1515","female","20","other","[1, 2, 4, 3, 5]","['yes', 'no']",1,1,"cdrh","cdrh",2652.1613322,1
96,"2017_Feb_09_1515","female","20","other","[1, 2, 4, 3, 5]","['yes', 'no']",1,2,"csfwb","csfwb",2335.30154996,1
